EntryID,Location,SKU_Code,BatchNo,ExpiryDate,UnitType,QtyPerCtn,TotalQty,Comments,DateAdded,LastUpdated
112341,O-8-2,GD2410,LR,12/2027,PCS,60,"1,500",,12/10/2025,
112342,O-8-2,GD2410,MG,02/2028,PCS,60,35,,12/10/2025,
112343,O-8-3,GD2301,06409024416,09/2027,PCS,60,720,,12/10/2025,
112344,O-8-4,GD2412,72,05/2028,PCS,96,548,,12/10/2025,
112345,O-8-5,GD2108,4J4,10/2027,PCS,42,376,,12/10/2025,
112346,O-8-6,GD2403,0909242403,09/2027,PCS,12,"1,260",,12/10/2025,
112347,O-9-1,GD2105,08507024305,07/2027,PCS,42,398,,12/10/2025,
112348,O-9-2,GD2407,MD,02/2028,PCS,60,687,,12/10/2025,
112349,O-9-3,GD2102,32,01/2028,PCS,110,232,,12/10/2025,
112350,O-9-4,GD2102,32,01/2028,PCS,110,"3,080",,12/10/2025,
112351,O-9-5,GD2401,0209242401,05/2027,PCS,8,576,,12/10/2025,
112352,O-9-6,GD2404,0509242404,08/2027,PCS,12,343,,12/10/2025,
112353,P-10-1,RCF17,37,01/2027,PCS,36,"1,455",,12/10/2025,
112354,P-10-2,RCFS01,0K4,11/2025,PCS,81,"2,091",,12/10/2025,
112355,P-10-4,RCF10,08,05/2027,PCS,36,975,,12/10/2025,
112356,P-10-4,RCF10,10,12/2025,PCS,33,30,,12/10/2025,
112357,P-10-5,RC506,2E4,05/2026,PCS,60,"3,300",,12/10/2025,
112358,P-10-6,RC316,27208625013,08/2028,PCS,42,709,,12/10/2025,
112359,P-11-1,RC2305,AV,06/2027,PCS,36,72,,12/10/2025,
112360,P-11-1,RC2305,ZV,03/2027,PCS,36,28,,12/10/2025,
112361,P-11-1,RC2321,66,09/2026,PCS,12,60,,12/10/2025,
112362,P-11-1,RC39,VA,04/2026,PCS,36,44,,12/10/2025,
112363,P-11-2,RCF17,37,01/2027,PCS,36,276,,12/10/2025,
112364,P-11-3,RC2307,GY,03/2028,PCS,36,396,,12/10/2025,
112365,P-11-4,RC503,5G2,07/2028,PCS,60,543,,12/10/2025,
112366,P-11-5,RC39,HE,03/2028,PCS,36,860,,12/10/2025,
112367,P-11-6,RC316,01209425213,09/2028,PCS,42,"1,731",,12/10/2025,
112368,P-1-1,RC504,3A7,01/2026,PCS,60,48,,12/10/2025,
112369,P-1-1,RC504,3B5,02/2026,PCS,60,"1,495",,12/10/2025,
112370,P-12-1,RC2304,ZT,03/2027,PCS,36,8,,12/10/2025,
112371,P-12-1,RC34,BS,08/2029,PCS,36,52,,12/10/2025,
112372,P-12-2,RC108/V2,74,10/2026,PCS,72,"3,179",,12/10/2025,
112373,P-12-3,RC108/V2,74,10/2026,PCS,63,"3,958",,12/10/2025,
112374,P-12-4,RC39,HE,03/2028,PCS,36,540,,12/10/2025,
112375,P-12-5,RCF16,27,01/2029,PCS,36,693,,12/10/2025,
112376,P-12-6,RC2501,2608252501,07/2028,PCS,12,244,,12/10/2025,
112377,P-1-2,RC2304,GU,02/2028,PCS,36,540,,12/10/2025,
112378,P-1-2,RC2510,2808252510,07/2027,PCS,12,665,,12/10/2025,
112379,P-1-3,RCHC17,DS,10/2029,PCS,68,"1,904",,12/10/2025,
112380,P-1-4,RC316,01209425213,09/2028,PCS,42,"2,310",,12/10/2025,
112381,P-1-5,RCHC17,ND,03/2027,PCS,68,305,,12/10/2025,
112382,P-1-6,RCHC2106CO,LC,11/2026,PCS,56,348,,12/10/2025,
112383,P-2-1,RCF05,02,01/2026,PCS,36,24,,12/10/2025,
112384,P-2-1,RCF05,33,04/2026,PCS,36,708,,12/10/2025,
112385,P-2-2,RCF04,07,05/2027,PCS,36,594,,12/10/2025,
112386,P-2-2,RCF05,33,04/2026,PCS,36,"1,043",,12/10/2025,
112387,P-2-3,RCF05,33,04/2026,PCS,36,"1,043",,12/10/2025,
112388,P-2-4,RCHC17,KX,11/2026,PCS,68,56,,12/10/2025,
112389,P-2-4,RCHC17,QH,10/2027,PCS,68,"1,292",,12/10/2025,
112390,P-2-5,RCHC17,QH,10/2027,PCS,68,"1,904",,12/10/2025,
112391,P-2-6,RCHC17,QH,10/2027,PCS,68,"1,904",,12/10/2025,
112392,P-3-1,RC2503,2708252503,07/2028,PCS,12,504,,12/10/2025,
112393,P-3-1,RC503,1K8,11/2024,PCS,60,1,,12/10/2025,
112394,P-3-1,RC503,1L4,12/2024,PCS,60,4,,12/10/2025,
112395,P-3-1,RC503,2B4,02/2025,PCS,60,1,,12/10/2025,
112396,P-3-1,RC503,2E8,05/2025,PCS,60,7,,12/10/2025,
112397,P-3-1,RC503,2K2,11/2025,PCS,60,3,,12/10/2025,
112398,P-3-1,RC503,2K7,11/2026,PCS,60,1,,12/10/2025,
112399,P-3-1,RC503,3B7,02/2026,PCS,60,2,,12/10/2025,
112400,P-3-1,RC503,3K7,11/2026,PCS,60,50,,12/10/2025,
112401,P-3-2,RCF05,33,04/2026,PCS,36,864,,12/10/2025,
112402,P-3-3,RC2320,1610232320,10/2026,PCS,12,372,,12/10/2025,
112403,P-3-4,RC2109/v2,OP,07/2026,PCS,36,27,,12/10/2025,
112404,P-3-4,RC2109/v2,PN,09/2026,PCS,36,96,,12/10/2025,
112405,P-3-5,RC2502,2608252502,07/2028,PCS,12,235,,12/10/2025,
112406,P-3-6,RCF18,35,01/2027,PCS,36,"1,980",,12/10/2025,
112407,P-4-1,RC502,2E14,05/2025,PCS,90,54,,12/10/2025,
112408,P-4-1,RC502,3K3,11/2026,PCS,90,"1,767",,12/10/2025,
112409,P-4-2,RC314,11309325211,09/2028,PCS,126,"1,046",,12/10/2025,
112410,P-4-2,RC506,2E4,05/2026,PCS,60,640,,12/10/2025,
112411,P-4-2,RC506,2E9,05/2025,PCS,60,54,,12/10/2025,
112412,P-4-3,RCHC2106CO,LC,11/2026,PCS,56,"2,083",,12/10/2025,
112413,P-4-4,RC107,85,04/2025,PCS,72,"1,195",,12/10/2025,
112414,P-4-5,RC2509,1908252509,07/2027,PCS,12,539,,12/10/2025,
112415,P-4-6,RC506,2E4,05/2026,PCS,60,380,,12/10/2025,
112416,P-5-1,RC2108,IR,07/2026,PCS,36,72,,12/10/2025,
112417,P-5-1,RC502,1I6,09/2024,PCS,90,180,,12/10/2025,
112418,P-5-1,RC502,2E7,05/2025,PCS,90,8,,12/10/2025,
112419,P-5-2,RCF16,98,01/2028,PCS,36,"1,094",,12/10/2025,
112420,P-5-3,RCF16,18,12/2028,PCS,36,396,,12/10/2025,
112421,P-5-4,RC107/v2,23,07/2027,PCS,72,677,,12/10/2025,
112422,P-5-4,RC2502,2608252502,07/2028,PCS,12,540,,12/10/2025,
112423,P-5-5,RC42,KL,07/2029,PCS,36,490,,12/10/2025,
112424,P-5-6,RCHC17,DS,10/2029,PCS,68,"1,904",,12/10/2025,
112425,P-6-1,RC2304,GU,02/2028,PCS,36,355,,12/10/2025,
112426,P-6-1,RC41,UR,03/2027,PCS,36,576,,12/10/2025,
112427,P-6-2,RC2304,GU,02/2028,PCS,36,355,,12/10/2025,
112428,P-6-3,RC41,UR,03/2027,PCS,36,"1,000",,12/10/2025,
112429,P-6-4,RC41,UR,03/2027,PCS,36,"1,008",,12/10/2025,
112430,P-6-5,RC41,UR,03/2027,PCS,36,684,,12/10/2025,
112431,P-6-6,RCHC17,DS,10/2029,PCS,68,"1,904",,12/10/2025,
112432,P-7-1,RC2012/V3,12,08/2025,PCS,12,50,,12/10/2025,
